case_id,repository,status,last_benign_sha,range_first_sha,range_tip_sha,range_revspec,range_commit_count,malicious_commit_count,answer_labeled_shas,canonical_malicious_shas,answer_ref,answer_file,label_source,range_method,linked_repository,notes,implant_type,attack_type (Unverified),attack_summary,should_find
new_features_reference,new_features,reference_only,,,,,0,0,2a2b805fc5;6f3720c7ec;421f0c7b33,,refs/heads/main,answers.md,answer-only Fleetbase variant catalog,not extractable: referenced SHAs are not present as local commits,Ori-Fleetbase-v4,No local commit range can be constructed from this answer-only catalog.,,Logical,General logical manipulation,false
rocketchat_yarn_implant,rocketchat_yarn_implant,ready,"bbe11659c8f7d9baf252503c10258ed71e66d3d5
",e84337b8cc69c9e9989eab1122a72aecb00fb8ad,e84337b8cc69c9e9989eab1122a72aecb00fb8ad,"bbe11659c8f7d9baf252503c10258ed71e66d3d5
..e84337b8cc69c9e9989eab1122a72aecb00fb8ad",1,1,e84337b8cc69c9e9989eab1122a72aecb00fb8ad,e84337b8cc69c9e9989eab1122a72aecb00fb8ad,refs/heads/develop,answer.txt,answer branch/document,minimal answer-labeled range,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Code injection or malware-based cyber attack,false
rocketchat_yarn_implant2,rocketchat_yarn_implant2,ready,"8cdf1eac1cd8327bce85a6e34d445601e092cf10
",3ed1f52761ee31d2e0b7a818b72631e6ef7679b4,3ed1f52761ee31d2e0b7a818b72631e6ef7679b4,"8cdf1eac1cd8327bce85a6e34d445601e092cf10
..3ed1f52761ee31d2e0b7a818b72631e6ef7679b4",1,1,e84337b8cc69c9e9989eab1122a72aecb00fb8ad,3ed1f52761ee31d2e0b7a818b72631e6ef7679b4,refs/heads/develop,answer.txt,answer branch/document,cross-bundle content and nominal-commit match,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Code injection or malware-based cyber attack,false
daylight_savings_dos,daylight-savings-dos,ready,"bc19a8a4a87adac9c1ab043305dc8367dbfe56c1
",132af973716c0b4fc8649d860f285d3a9fa4ebc0,3861eed4515685df5aa1fef885c3c87b26676efb,"bc19a8a4a87adac9c1ab043305dc8367dbfe56c1
..3861eed4515685df5aa1fef885c3c87b26676efb",44,2,4f4da53e56180955e2e1a38bf26b76baa3010a02;fa4f67b5d1fa8a0d1659ccb16fe936b34b7dff36,4f4da53e56180955e2e1a38bf26b76baa3010a02;fa4f67b5d1fa8a0d1659ccb16fe936b34b7dff36,blackjack-thing/gnir-rocketchat-redteam:refs/heads/main,working-pocs/chain3-clock-drift-dos/chain3-H-final/chain3-final-plan.md,answer branch/document,documented 44-commit review range,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Time-based or denial of service disruption,true
rolling_deploy_delete_all,rolling-deploy-delete-all,ready,"444c40ee7e6dc9704d2658c0f8ee1b742ef168f1
",3191e9cc9d3c2ba20b83821e9956836eb73055c5,ec5f6b4af586c88cc6f148186010a1b976cc0901,"444c40ee7e6dc9704d2658c0f8ee1b742ef168f1
..ec5f6b4af586c88cc6f148186010a1b976cc0901",12,3,ff08b474e4a91a5ce3bb41d8cbc513b8c3752db1;8e0722fdc880f2c32186a166fc06decb50af8f15;f212396fcffef1b43e18da718cbab33c92600a3c,ff08b474e4a91a5ce3bb41d8cbc513b8c3752db1;8e0722fdc880f2c32186a166fc06decb50af8f15;f212396fcffef1b43e18da718cbab33c92600a3c,blackjack-thing/gnir-rocketchat-redteam:refs/heads/main,working-pocs/rolling-deploy-delete-all-files/60-chain2-implementation-plan.md,answer branch/document,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Deployment process compromise or automation attack,true
dosik_database_attack,dosik-database-attack,ready,"6c06eaaaaf71c38e86ac5597ced9b385e44020fd
",96d9e2f355f23bc07d9357a4d465ab003b397ea2,67d99c3c102bb0f07b0e61357f9958214eb416e6,"6c06eaaaaf71c38e86ac5597ced9b385e44020fd
..67d99c3c102bb0f07b0e61357f9958214eb416e6",96,6,96d9e2f355f23bc07d9357a4d465ab003b397ea2;8229047dfbb01d1fedac37c309315f0caa72fc76;45ebd7b880c84855f83c9d0754574bc469d08fb1;c824c1836b2028bcc22447f9e6ef3cfb5b798ef7;abfa74a0da5ca880d53bcb4e5d7e407360a45a49;67d99c3c102bb0f07b0e61357f9958214eb416e6,96d9e2f355f23bc07d9357a4d465ab003b397ea2;8229047dfbb01d1fedac37c309315f0caa72fc76;45ebd7b880c84855f83c9d0754574bc469d08fb1;c824c1836b2028bcc22447f9e6ef3cfb5b798ef7;abfa74a0da5ca880d53bcb4e5d7e407360a45a49;67d99c3c102bb0f07b0e61357f9958214eb416e6,refs/heads/develop,Database based attack.md,answer branch/document,first malicious parent through final malicious commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Cyber,Data manipulation or database corruption attack,true
rocketchat_sariel_attempt5,RocketChatSarielAttempt5,ready,"667eb24d83cd4490d6f8352b3fc842e555c464c5
",c9738715a567c5ccdf270bad27ed7d15ab126590,8ce3d1089bc17cb7c7e85065f57bc095d9e89e40,"667eb24d83cd4490d6f8352b3fc842e555c464c5
..8ce3d1089bc17cb7c7e85065f57bc095d9e89e40",10,3,e27768b07f43b02337ffe4212fb6383109d12226;594862c604b82561ff83711efdcc5288eb341afc;816c8316b574a5d42bf40e9147da71e761823899,e27768b07f43b02337ffe4212fb6383109d12226;594862c604b82561ff83711efdcc5288eb341afc;8ce3d1089bc17cb7c7e85065f57bc095d9e89e40,refs/heads/answers,answers.txt,answer branch/document,answer-documented 10-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocketchat_licence_payload,rocketchat_licence_payload,ready,"cc4a6ebd14699a91debd5dc7673c1137ceb7e35b
",aeabeadd1c4c6f726e2939005e99d8aa48eb3672,d3b98700a789ffd86369f79c84acb47199cec4f9,"cc4a6ebd14699a91debd5dc7673c1137ceb7e35b
..d3b98700a789ffd86369f79c84acb47199cec4f9",2,2,aeabeadd1c4c6f726e2939005e99d8aa48eb3672;d3b98700a789ffd86369f79c84acb47199cec4f9,aeabeadd1c4c6f726e2939005e99d8aa48eb3672;d3b98700a789ffd86369f79c84acb47199cec4f9,refs/heads/answers,answers.txt,answer branch/document,changes_to_review branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,General logical manipulation,true
rocket_chat_hidden_license,rocket_chat_hidden_license,ready,"92d5d4264c27f1f345931297adc63e4d5b076da8
",8c6b9be806ea242b53d3f6c1b08bcac487802843,8c6b9be806ea242b53d3f6c1b08bcac487802843,"92d5d4264c27f1f345931297adc63e4d5b076da8
..8c6b9be806ea242b53d3f6c1b08bcac487802843",1,1,8c6b9be806ea242b53d3f6c1b08bcac487802843,8c6b9be806ea242b53d3f6c1b08bcac487802843,refs/heads/changes_to_commit,,review branch plus repository analysis,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,Compliance or legal evasion through logical manipulation,true
rocketchat_license,rocketchat-license,ready,"46f16412762b133062cae0b9cc8ffba6830dea43
",98f0631f1c7c18907628a7f2392a29a6e50fb343,98f0631f1c7c18907628a7f2392a29a6e50fb343,"46f16412762b133062cae0b9cc8ffba6830dea43
..98f0631f1c7c18907628a7f2392a29a6e50fb343",1,1,98f0631f1c7c18907628a7f2392a29a6e50fb343,98f0631f1c7c18907628a7f2392a29a6e50fb343,refs/heads/save_this2,,single divergent challenge commit,challenge branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.,,Logical,Compliance or legal evasion through logical manipulation,true
