case_id,repository,status,last_benign_sha,range_first_sha,range_tip_sha,range_revspec,range_commit_count,malicious_commit_count,answer_labeled_shas,canonical_malicious_shas,answer_ref,answer_file,label_source,range_method,linked_repository,notes
rocketchat_yarn_implant,rocketchat_yarn_implant,ready,68b04f35dbdc6e6984ade4ebc25651e91e4a7e5d,4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,68b04f35dbdc6e6984ade4ebc25651e91e4a7e5d..4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,1,1,4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,refs/heads/develop,answer.txt,answer branch/document,minimal answer-labeled range,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_yarn_implant2,rocketchat_yarn_implant2,ready,68b04f35dbdc6e6984ade4ebc25651e91e4a7e5d,fda6737e90e004abf104d793d2f3cb6cf54eb15c,fda6737e90e004abf104d793d2f3cb6cf54eb15c,68b04f35dbdc6e6984ade4ebc25651e91e4a7e5d..fda6737e90e004abf104d793d2f3cb6cf54eb15c,1,1,4a15b9cefa6ceff60db73b6b6e72c8b1284aa2a9,fda6737e90e004abf104d793d2f3cb6cf54eb15c,refs/heads/develop,answer.txt,answer branch/document,cross-bundle content and nominal-commit match,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
daylight_savings_dos,daylight-savings-dos,ready,9760d84629e966c53836ab4d0d2fa147f2829d64,c145feaa677d19e6b7cbc57d85f831872efd295e,9b55e668fab7d233c4fc1604e54575a606f7ef55,9760d84629e966c53836ab4d0d2fa147f2829d64..9b55e668fab7d233c4fc1604e54575a606f7ef55,44,2,04f99ac219185ba3df939147d12dce9f251d32b4;958530c91789a2618a83d1f03ea0ff827b94d50c,04f99ac219185ba3df939147d12dce9f251d32b4;958530c91789a2618a83d1f03ea0ff827b94d50c,blackjack-thing/gnir-rocketchat-redteam:refs/heads/main,working-pocs/chain3-clock-drift-dos/chain3-H-final/chain3-final-plan.md,answer branch/document,documented 44-commit review range,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rolling_deploy_delete_all,rolling-deploy-delete-all,ready,f032e187ae08f3b68e579b41b394972e764439a1,3638740885a17687b7a37db03efb27c6e4e37278,1104dc0a97f0f3bb2654e1cca3dec28e980e40e5,f032e187ae08f3b68e579b41b394972e764439a1..1104dc0a97f0f3bb2654e1cca3dec28e980e40e5,12,3,15b48ebf0c9cf07b41b38a032e701d2786efd5d3;ff71ea6381152bc52c69e2510002fc555fe0cff0;0b136f8ab04bb88a4bc60fbe150e203f1c46c70f,15b48ebf0c9cf07b41b38a032e701d2786efd5d3;ff71ea6381152bc52c69e2510002fc555fe0cff0;0b136f8ab04bb88a4bc60fbe150e203f1c46c70f,blackjack-thing/gnir-rocketchat-redteam:refs/heads/main,working-pocs/rolling-deploy-delete-all-files/60-chain2-implementation-plan.md,answer branch/document,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
dosik_database_attack,dosik-database-attack,ready,34a39d19c68799e2170fdabe3805e9892fce02e2,bfd3f9bb4ee3338186214e07722b8dee27e85072,e0c29f88377bac783f8e14d5061147b728348818,34a39d19c68799e2170fdabe3805e9892fce02e2..e0c29f88377bac783f8e14d5061147b728348818,96,6,bfd3f9bb4ee3338186214e07722b8dee27e85072;2e7af0b583e3d1b5bacb60f46082819ae44e0805;0f2c3db2ee5d923d5434ad33b59c60817abd450b;83c8ce3c89e3f571c7685cf3f9a9ba4d6701048e;da828d6d0cb950bce1359c1ad87d47aadd18b8a4;e0c29f88377bac783f8e14d5061147b728348818,bfd3f9bb4ee3338186214e07722b8dee27e85072;2e7af0b583e3d1b5bacb60f46082819ae44e0805;0f2c3db2ee5d923d5434ad33b59c60817abd450b;83c8ce3c89e3f571c7685cf3f9a9ba4d6701048e;da828d6d0cb950bce1359c1ad87d47aadd18b8a4;e0c29f88377bac783f8e14d5061147b728348818,refs/heads/develop,Database based attack.md,answer branch/document,first malicious parent through final malicious commit,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_sariel_attempt5,RocketChatSarielAttempt5,ready,f6085fa28cc07239a26b7378c20725770049571e,538cce23ff1d7f0c8972ca5cb069319d8e548c40,95ef88d89212a09fad73828042d589a816009a60,f6085fa28cc07239a26b7378c20725770049571e..95ef88d89212a09fad73828042d589a816009a60,10,3,458b161c9d845df84fa6ed2247d06c256a26b545;1c0d729c5bfecce7a83eb983fd7a7b4890c5eb94;816c8316b574a5d42bf40e9147da71e761823899,458b161c9d845df84fa6ed2247d06c256a26b545;1c0d729c5bfecce7a83eb983fd7a7b4890c5eb94;95ef88d89212a09fad73828042d589a816009a60,refs/heads/answers,answers.txt,answer branch/document,answer-documented 10-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_licence_payload,rocketchat_licence_payload,ready,2872428d97915734dc506659b248eb1c155e4ba5,c34e456e1e33719f4ef106c6982122145b66c995,8474deb5b499dccb5948e4dfb414a545ca0c7ae9,2872428d97915734dc506659b248eb1c155e4ba5..8474deb5b499dccb5948e4dfb414a545ca0c7ae9,2,2,c34e456e1e33719f4ef106c6982122145b66c995;8474deb5b499dccb5948e4dfb414a545ca0c7ae9,c34e456e1e33719f4ef106c6982122145b66c995;8474deb5b499dccb5948e4dfb414a545ca0c7ae9,refs/heads/answers,answers.txt,answer branch/document,changes_to_review branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocket_chat_hidden_license,rocket_chat_hidden_license,ready,753fdd90695fe10539e2008b5e11664ebdd180f7,0df1f2a977287d1c288fae607341d9dfad46753d,0df1f2a977287d1c288fae607341d9dfad46753d,753fdd90695fe10539e2008b5e11664ebdd180f7..0df1f2a977287d1c288fae607341d9dfad46753d,1,1,0df1f2a977287d1c288fae607341d9dfad46753d,0df1f2a977287d1c288fae607341d9dfad46753d,refs/heads/changes_to_commit,,review branch plus repository analysis,changes_to_commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_license,rocketchat-license,ready,5e92280a47a2424b2aa30c39aa2e1ebe966f18ac,a12b5a48fb286ff1ff80901a4f68934510b4a8a6,a12b5a48fb286ff1ff80901a4f68934510b4a8a6,5e92280a47a2424b2aa30c39aa2e1ebe966f18ac..a12b5a48fb286ff1ff80901a4f68934510b4a8a6,1,1,a12b5a48fb286ff1ff80901a4f68934510b4a8a6,a12b5a48fb286ff1ff80901a4f68934510b4a8a6,refs/heads/save_this2,,single divergent challenge commit,challenge branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
rocketchat_sariel_attempt2,RocketChatSarielAttempt2,ready,f6085fa28cc07239a26b7378c20725770049571e,c7e5d11a91eb9aed820697695fa2671944311047,3ff9221f62c4912c3a5b18cc68cd32634c4aadb0,f6085fa28cc07239a26b7378c20725770049571e..3ff9221f62c4912c3a5b18cc68cd32634c4aadb0,5,2,a1753a6ee2af88499bf4123f5f41c9424a5ec00e;3ff9221f62c4912c3a5b18cc68cd32634c4aadb0,a1753a6ee2af88499bf4123f5f41c9424a5ec00e;3ff9221f62c4912c3a5b18cc68cd32634c4aadb0,refs/heads/answers,answers.txt,answer branch/document,answer-documented five-commit branch,,Canonical SHAs are the commits inside the test range; answer SHAs are retained as aliases when histories were rewritten.
